"Qty","Reference","Value","DNP","Mouser"
"1","C1","10uF","","667-ECA-1VM100"
"9","C2,C3,C4,C5,C6,C7,C8,C9,C10","0.1uF","","80-C322C104M5U"
"1","J1","TFT 4383","",""
"1","J2","mrd_114_ips_lcd_8p","",""
"1","J3","POWER","","179-UJCHGSMT1P6TR"
"1","JP1","TYPE","",""
"1","Q1","SUP53P06-20-E3 or equiv","","781-SUP53P06-20-E3"
"1","R1","33","","594-MBB02070C3309FCT"
"2","R2,R3","680","","594-MBB02070C6800FCT"
"6","R4,R6,R7,R8,R9,R10","4.7K","","594-MBB02070C4701FCT"
"1","R5","100","","594-MBB02070C1000FCT"
"2","R11,R12","5.1K","","594-MBB02070C5101FCT"
"4","RN1,RN2,RN3,RN4","33","","652-4608X-2LF-33"
"1","SW1","RotaryEncoder_Switch","",""
"1","SW2","BACK","","653-B3F-4005"
"1","TP1","5V","","534-5005"
"1","TP2","GND","","534-5006"
"1","TP3","12V","","534-5009"
"1","TP4","-5V","","534-5007"
"1","TP5","5VIN","","534-5005"
"1","U1","PICO2","","358-SC1631"
"1","U2","4116","",""
"1","U3","4132","",""
"1","U4","4164/41128/41256","",""
"1","U5","4416/4464","",""
"1","U6","44256","",""
"1","U7","DCDC_ITR03","","490-ITR0305S12"
"1","U8","RFM-0505S","","919-RFM-0505S"
"1","U9","APX803S","","621-APX803S-29SA-7"
